user_id	username	mean_rating
0	ukpkmkk	8.25
1	kifesh	7.318181818181818
2	1AmTheLiar	7.602094240837697
3	Mpaxlas	8.096774193548388
4	browner	7.546153846153846
5	mgoerge	6.22972972972973
6	rico_z1	9.409090909090908
7	IamJemboy	7.663157894736842
8	Thedoc_tv	9.923728813559322
9	dumddeer	6.365248226950355
10	Allytha	8.234513274336283
11	dany_elle1908	7.51618398637138
12	Zenet	7.142857142857143
13	Wes2000ley	7.962962962962963
14	Cisco5	7.15929203539823
15	Azakery	10.0
16	FoxVeritas	7.245614035087719
17	O_Arkano	7.714285714285714
18	ShaqHulud	7.914285714285715
19	Ai_Senpai	7.50179211469534
20	TriatomicTiger6	8.625
21	Euphxria101	8.428571428571429
22	duygusalkedi	8.382882882882884
23	_Leo	6.709375
24	StonyCat	8.715372907153728
25	AnB	6.8193146417445485
26	Tsunakumura	6.174418604651163
27	NyhTF	9.0
28	Gianpaolofirst	9.157894736842104
29	OneLunchMan	8.518987341772151
30	gusrob214	8.37062937062937
31	Tornado1353	7.7272727272727275
32	Antoine_Heatwave	8.03076923076923
33	heavenanime2	8.507462686567164
34	MilkKookie_Linda	8.21631205673759
35	itsactuallyanne	7.982758620689655
36	GabrielAyato	7.14
37	TheJuuuuJuuuu	8.711538461538462
38	susan00	5.8822222222222225
39	MisterHS	7.015706806282722
40	Aleshiyo	8.052405498281788
41	VoidWhirlwind	8.35982142857143
42	alexm51	8.180478821362799
43	Rhineron	9.011764705882353
44	HenriqueRique	8.00709219858156
45	manwe96	8.307692307692308
46	SoTyp	8.386363636363637
47	hahrae	7.163934426229508
48	Mr_Dnk	7.876923076923077
49	dasisgood	6.740845070422536
50	Patey	7.5
51	Slothic	7.229508196721311
52	AmandaSugimoto	8.683453237410072
53	bigbootysenpai	7.940397350993377
54	PhantomVR	8.206
55	YoFuzzy3	7.8316831683168315
56	csupidor	7.953642384105961
57	Shaboigon	6.477611940298507
58	TiagoCabaca007	9.045454545454545
59	PenguinsInVans	8.333333333333334
60	Dauntless325	8.880733944954128
61	Gafred	6.363636363636363
62	BeardySwordsman	5.690476190476191
63	Alberodiabete	8.0
64	BlackManno	7.2727272727272725
65	Fifal	9.59375
66	Meeryu	7.609375
67	InfantineBore92	7.146067415730337
68	mousesack	7.35042735042735
69	Kaelegrisen	8.666666666666666
70	Green_Sweatshirt	9.0
71	MiraQuru	8.511520737327189
72	Hockstone	8.8
73	GodPenPen	7.479591836734694
74	Cardos0	7.577023498694517
75	kroplica	7.796875
76	Kilexyn	7.251461988304094
77	Riskzz	8.19672131147541
78	yxolotl	7.407407407407407
79	PopularLoon	7.0
80	Hoolingaz	8.622222222222222
81	Lighteagle	6.435294117647059
82	Clutchsnipe	6.509933774834437
83	archer1313	6.992869875222817
84	widowmaker76	8.68421052631579
85	VlackStar	8.272727272727273
86	Aen_Saevherne	7.870967741935484
87	Youbuthornier	8.082191780821917
88	Kederalia	8.317307692307692
89	Ekubo	8.091954022988507
90	Detective1412	5.780693533270853
91	baphomtt	8.626373626373626
92	Loriu	6.504424778761062
93	Andraovski	7.375
94	TheTonyRonin	7.3125
95	xDarkHound	8.563909774436091
96	Kuuhaku42	7.7555555555555555
97	Venatus87	7.614285714285714
98	KiranHirota	7.308641975308642
99	MarcoCrestan	8.05511811023622
100	nekoyangi	7.227848101265823
101	Umalic65	7.885714285714286
102	Sub0229	6.300813008130081
103	moomen35	8.857558139534884
104	Donnel	7.8173076923076925
105	ceceko	7.032206119162641
106	cloud2313	8.16822429906542
107	honou1	6.767605633802817
108	Davvvid231	5.7368421052631575
109	Darko	7.253968253968254
110	Bentek1	9.777777777777779
111	Rikufmix	7.310344827586207
112	iNinten	8.2
113	eibar04	9.375
114	LGP123	8.075
115	VONjour	7.736377025036819
116	Out_Of_The_Abyss	8.026315789473685
117	KRG1337	7.418181818181818
118	SashaAthenea	6.045454545454546
119	LeftySolara	8.363636363636363
120	AhegaoHentaiGirl	7.824561403508772
121	Shiro__1	8.272727272727273
122	burberrygod	6.23404255319149
123	BlauerKlappstuhl	9.037578288100208
124	maiapicchu	8.666666666666666
125	Aqirys	7.480055020632737
126	Aneris17	7.6968421052631575
127	Abdus_Samad526	9.4375
128	SmitWagh	8.214285714285714
129	BroPixelLP	9.142857142857142
130	Hanazada	7.645161290322581
131	ExiledMonkey	7.953846153846154
132	MehmetYP	7.796296296296297
133	Tottraum	7.473684210526316
134	Abhinav1347	8.345794392523365
135	cram2000_Kirito	8.713235294117647
136	bropex	5.836
137	Zirag	7.785398230088496
138	WieczornySputnik	9.317073170731707
139	codenamer16	7.978102189781022
140	colindebin	7.676923076923077
141	Azimuth-	7.797872340425532
142	ChungBung	8.095238095238095
143	AminoCuddleBunny	7.853658536585366
144	Marc_Levi	7.862068965517241
145	olgierdjptp	7.540229885057471
146	Mande97	4.652365236523653
147	xTwesy	9.173333333333334
148	Luckybeggar	8.627450980392156
149	Shuppa	8.2
150	promyd	9.21195652173913
151	foxsinsox	7.511904761904762
152	NekuroSenpai	8.090909090909092
153	N_kun	7.718446601941747
154	rindazzz	7.11
155	Diakonov	7.3428571428571425
156	brandoni0	8.76923076923077
157	Divekar17	7.4
158	Pokefan6113	7.527638190954774
159	xffzXD	8.777777777777779
160	NoctuaPersen	7.783018867924528
161	Vormek	6.688888888888889
162	noamberkun	8.773584905660377
163	milkpaw	7.810650887573964
164	Incompetence	7.032432432432432
165	karore	7.359116022099448
166	braemmeke	8.807692307692308
167	Atour	8.416
168	Gattsu18	7.797297297297297
169	Charlain	8.202898550724637
170	vegeta-san	8.357988165680473
171	MiguelOrts	7.510791366906475
172	Nez_Gogi	7.904761904761905
173	BlazingVortex007	7.532110091743119
174	Tropical_Owl	8.475
175	RyuuKikun__	8.333333333333334
176	Lokifeyth	7.993630573248407
177	Stando_Powah	7.583333333333333
178	CerysHyakuya	7.153409090909091
179	GorzGilga1	6.150862068965517
