mal_id	title	season	genres	type	episodes	score	members	img	prequels_id	is_sequel
37779	Yakusoku no Neverland	Winter 2019	{'Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Thriller', 'Shounen'}	TV	12	8.74	292795	https://cdn.myanimelist.net/images/anime/1125/96929.jpg	{}	False
245	Great Teacher Onizuka	Summer 1999	{'Comedy', 'Drama', 'School', 'Shounen', 'Slice of Life'}	TV	43	8.73	408888	https://cdn.myanimelist.net/images/anime/13/11460.jpg	{1913}	False
457	Mushishi	Fall 2005	{'Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen'}	TV	26	8.73	460046	https://cdn.myanimelist.net/images/anime/2/73862.jpg	{}	False
5258	Hajime no Ippo: New Challenger	Winter 2009	{'Comedy', 'Sports', 'Drama', 'Shounen'}	TV	26	8.72	145627	https://cdn.myanimelist.net/images/anime/8/56617.jpg	{265}	False
34591	Natsume Yuujinchou Roku	Spring 2017	{'Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural'}	TV	11	8.72	86315	https://cdn.myanimelist.net/images/anime/6/84416.jpg	{32983}	False
2001	Tengen Toppa Gurren Lagann	Spring 2007	{'Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi'}	TV	27	8.72	894822	https://cdn.myanimelist.net/images/anime/4/5123.jpg	{}	False
11665	Natsume Yuujinchou Shi	Winter 2012	{'Slice of Life', 'Supernatural', 'Drama', 'Fantasy', 'Shoujo'}	TV	13	8.71	147967	https://cdn.myanimelist.net/images/anime/3/37449.jpg	{10379}	False
33486	Boku no Hero Academia 2nd Season	Spring 2017	{'Action', 'Comedy', 'Super Power', 'School', 'Shounen'}	TV	25	8.69	824179	https://cdn.myanimelist.net/images/anime/12/85221.jpg	{31964, 35262}	False
19	Monster	Spring 2004	{'Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller'}	TV	74	8.69	408870	https://cdn.myanimelist.net/images/anime/10/18793.jpg	{}	False
36456	Boku no Hero Academia 3rd Season	Spring 2018	{'Action', 'Comedy', 'School', 'Shounen', 'Super Power'}	TV	25	8.66	586624	https://cdn.myanimelist.net/images/anime/1319/92084.jpg	{33486}	False
1535	Death Note	Fall 2006	{'Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen'}	TV	37	8.66	1665662	https://cdn.myanimelist.net/images/anime/9/9453.jpg	{}	False
12365	Bakuman. 3rd Season	Fall 2012	{'Comedy', 'Drama', 'Romance', 'Shounen'}	TV	25	8.65	206147	https://cdn.myanimelist.net/images/anime/6/41845.jpg	{10030, 15711}	False
19647	Hajime no Ippo: Rising	Fall 2013	{'Comedy', 'Sports', 'Drama', 'Shounen'}	TV	25	8.65	121680	https://cdn.myanimelist.net/images/anime/6/56147.jpg	{5258}	False
35839	Sora yori mo Tooi Basho	Winter 2018	{'Adventure', 'Comedy'}	TV	13	8.65	192903	https://cdn.myanimelist.net/images/anime/6/89879.jpg	{}	False
30654	Ansatsu Kyoushitsu 2nd Season	Winter 2016	{'Action', 'Comedy', 'School', 'Shounen'}	TV	25	8.64	483857	https://cdn.myanimelist.net/images/anime/8/77966.jpg	{24833}	False
11741	Fate/Zero 2nd Season	Spring 2012	{'Action', 'Supernatural', 'Magic', 'Fantasy'}	TV	12	8.64	569756	https://cdn.myanimelist.net/images/anime/8/41125.jpg	{10087}	False
20583	Haikyuu!!	Spring 2014	{'Comedy', 'Drama', 'School', 'Shounen', 'Sports'}	TV	25	8.64	580397	https://cdn.myanimelist.net/images/anime/7/76014.jpg	{}	False
31933	JoJo no Kimyou na Bouken: Diamond wa Kudakenai	Spring 2016	{'Action', 'Adventure', 'Comedy', 'Supernatural', 'Drama', 'Shounen'}	TV	39	8.64	256973	https://cdn.myanimelist.net/images/anime/3/79156.jpg	{26055}	False
10379	Natsume Yuujinchou San	Summer 2011	{'Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural'}	TV	13	8.64	154990	https://cdn.myanimelist.net/images/anime/8/82394.jpg	{5300}	False
22135	Ping Pong the Animation	Spring 2014	{'Drama', 'Psychological', 'Seinen', 'Sports'}	TV	11	8.64	173271	https://cdn.myanimelist.net/images/anime/10/58041.jpg	{}	False
34612	Saiki Kusuo no Ψ-nan 2	Winter 2018	{'Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural'}	TV	24	8.64	131992	https://cdn.myanimelist.net/images/anime/1961/91383.jpg	{33255}	False
7785	Yojouhan Shinwa Taikei	Spring 2010	{'Mystery', 'Comedy', 'Psychological', 'Romance'}	TV	11	8.64	215069	https://cdn.myanimelist.net/images/anime/10/50457.jpg	{}	False
2921	Ashita no Joe 2	Fall 1980	{'Action', 'Drama', 'Shounen', 'Slice of Life', 'Sports'}	TV	47	8.63	17141	https://cdn.myanimelist.net/images/anime/3/45028.jpg	{2402}	False
32983	Natsume Yuujinchou Go	Fall 2016	{'Slice of Life', 'Supernatural', 'Drama', 'Fantasy', 'Shoujo'}	TV	11	8.63	95283	https://cdn.myanimelist.net/images/anime/11/81755.jpg	{11665}	False
28735	Shouwa Genroku Rakugo Shinjuu	Winter 2016	{'Drama', 'Historical', 'Josei'}	TV	13	8.62	163250	https://cdn.myanimelist.net/images/anime/2/77907.jpg	{}	False
33352	Violet Evergarden	Winter 2018	{'Fantasy', 'Drama', 'Slice of Life'}	TV	13	8.61	508009	https://cdn.myanimelist.net/images/anime/1795/95088.jpg	{}	False
5300	Zoku Natsume Yuujinchou	Winter 2009	{'Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural'}	TV	13	8.61	161679	https://cdn.myanimelist.net/images/anime/4/79738.jpg	{4081}	False
30484	Steins;Gate 0	Spring 2018	{'Sci-Fi', 'Thriller'}	TV	23	8.59	354128	https://cdn.myanimelist.net/images/anime/1375/93521.jpg	{32188}	False
37520	Dororo	Winter 2019	{'Action', 'Adventure', 'Historical', 'Demons', 'Supernatural', 'Shounen'}	TV	24	8.58	234634	https://cdn.myanimelist.net/images/anime/1933/97061.jpg	{}	False
36259	Pingu in the City	Fall 2017	{'Comedy', 'Kids', 'Slice of Life'}	TV	26	8.58	28419	https://cdn.myanimelist.net/images/anime/1140/95174.jpg	{}	False
3297	Aria The Origination	Winter 2008	{'Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life'}	TV	13	8.57	78274	https://cdn.myanimelist.net/images/anime/6/77623.jpg	{2563}	False
35843	Gintama.: Porori-hen	Fall 2017	{'Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'}	TV	13	8.57	72511	https://cdn.myanimelist.net/images/anime/11/88325.jpg	{34096}	False
26055	JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season	Winter 2015	{'Action', 'Adventure', 'Drama', 'Shounen', 'Supernatural'}	TV	24	8.57	264678	https://cdn.myanimelist.net/images/anime/11/75045.jpg	{20899}	False
6114	Rainbow: Nisha Rokubou no Shichinin	Spring 2010	{'Drama', 'Historical', 'Seinen', 'Thriller'}	TV	26	8.57	224415	https://cdn.myanimelist.net/images/anime/9/72697.jpg	{}	False
37999	Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen	Winter 2019	{'Comedy', 'Psychological', 'Romance', 'School', 'Seinen'}	TV	12	8.55	249909	https://cdn.myanimelist.net/images/anime/1291/97023.jpg	{}	False
33255	Saiki Kusuo no Ψ-nan	Summer 2016	{'Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural'}	TV	120	8.55	233968	https://cdn.myanimelist.net/images/anime/11/80167.jpg	{}	False
31043	Boku dake ga Inai Machi	Winter 2016	{'Mystery', 'Psychological', 'Supernatural', 'Seinen'}	TV	12	8.54	835477	https://cdn.myanimelist.net/images/anime/10/77957.jpg	{}	False
